2459770.51948,0.0008,TESS
2459771.7322,0.00084,TESS
2459772.94574,0.00071,TESS
2459774.1578,0.00074,TESS
2459775.36952,0.00076,TESS
2459776.58336,0.00097,TESS
2459779.01087,0.0008,TESS
2459780.224,0.0009,TESS
2459781.43505,0.00082,TESS
2459783.86062,0.00074,TESS
2459785.07549,0.00082,TESS
2459786.28806,0.00078,TESS
2459787.4999,0.00077,TESS
2459788.71252,0.00079,TESS
2459789.92521,0.00079,TESS
2459791.13893,0.00082,TESS
2459792.35054,0.00072,TESS
2459793.56409,0.00081,TESS
2459794.77738,0.00084,TESS
2459795.98938,0.0008,TESS
2459797.20282,0.00079,TESS
2459798.417,0.00083,TESS
2459799.62843,0.00077,TESS
2459800.84285,0.00073,TESS
2459802.05424,0.00082,TESS
2459803.26763,0.00085,TESS
2459804.47961,0.00086,TESS
2459805.69441,0.0008,TESS
2459806.90739,0.00089,TESS
2459808.12096,0.00087,TESS
2459809.3308,0.0011,TESS
2459811.75916,0.00082,TESS
2459812.97119,0.00082,TESS
2459814.18451,0.0008,TESS
2459815.39663,0.00076,TESS
2459816.61088,0.00084,TESS
2459817.82415,0.00075,TESS
2459819.0359,0.0008,TESS
2459820.24817,0.00069,TESS
2459821.45933,0.00081,TESS
2459822.67472,0.0009,TESS
2459823.88588,0.00078,TESS
